title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 3956,isic3956,,334431,http://sicily.classics.ox.ac.uk/inscription/isic3956,10.5281/zenodo.4389451,,,,,,,,,,,,
I.Sicily inscription 0081,isic0081,644814,,http://sicily.classics.ox.ac.uk/inscription/isic0081,10.5281/zenodo.4334057,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1250,isic1250,492856,329615,http://sicily.classics.ox.ac.uk/inscription/isic1250,10.5281/zenodo.4385681,39101618,,,,,accounts,http://www.eagle-network.eu/voc/typeins/lod/410.html,accounts,,,,
I.Sicily inscription 0305,isic0305,175761,,http://sicily.classics.ox.ac.uk/inscription/isic0305,10.5281/zenodo.4384279,21900340,081504,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 3818,isic3818,,334228,http://sicily.classics.ox.ac.uk/inscription/isic3818,10.5281/zenodo.4381696,,,,,,,,,,,,
Dedication to Enyo,isic1425,644975,331342,http://sicily.classics.ox.ac.uk/inscription/isic1425,10.5281/zenodo.4354003,,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,
I.Sicily inscription 1157,isic1157,492770,140642,http://sicily.classics.ox.ac.uk/inscription/isic1157,10.5281/zenodo.4385546,39102313,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1638,isic1638,494038,,http://sicily.classics.ox.ac.uk/inscription/isic1638,10.5281/zenodo.4354682,12700066,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0503,isic0503,491729,,http://sicily.classics.ox.ac.uk/inscription/isic0503,10.5281/zenodo.4384815,22000809,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,
I.Sicily inscription 3053,isic3053,645407,334128,http://sicily.classics.ox.ac.uk/inscription/isic3053,10.5281/zenodo.4357114,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3131,isic3131,645472,330186,http://sicily.classics.ox.ac.uk/inscription/isic3131,10.5281/zenodo.4388173,,,,,,,,,,,,
I.Sicily inscription 3335,isic3335,645583,,http://sicily.classics.ox.ac.uk/inscription/isic3335,10.5281/zenodo.4388418,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 2846,isic2846,645240,334554,http://sicily.classics.ox.ac.uk/inscription/isic2846,10.5281/zenodo.4387505,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0958,isic0958,492588,140439,http://sicily.classics.ox.ac.uk/inscription/isic0958,10.5281/zenodo.4340190,39102115,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1139,isic1139,492752,140624,http://sicily.classics.ox.ac.uk/inscription/isic1139,10.5281/zenodo.4351615,39102296,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
Ash chest for Pompeios Elpistos,isic3380,645608,140340,http://sicily.classics.ox.ac.uk/inscription/isic3380,10.5281/zenodo.4358476,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1651,isic1651,645089,,http://sicily.classics.ox.ac.uk/inscription/isic1651,10.5281/zenodo.4354732,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1560,isic1560,493907,175635,http://sicily.classics.ox.ac.uk/inscription/isic1560,10.5281/zenodo.4354450,41300036,,,,,,,(?),,,,
I.Sicily inscription 0188,isic0188,175701,,http://sicily.classics.ox.ac.uk/inscription/isic0188,10.5281/zenodo.4334482,8900397,077919,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
The municipium honours Gaius Iulius Lon(gus?),isic0622,175833,,http://sicily.classics.ox.ac.uk/inscription/isic0622,10.5281/zenodo.4338107,15500060,073510,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 4017,isic4017,,334522,http://sicily.classics.ox.ac.uk/inscription/isic4017,10.5281/zenodo.4389587,,,,,,,,,,,,
I.Sicily inscription 3521,isic3521,493853,313642,http://sicily.classics.ox.ac.uk/inscription/isic3521,10.5281/zenodo.4388708,38200010,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0826,isic0826,492452,140296,http://sicily.classics.ox.ac.uk/inscription/isic0826,10.5281/zenodo.4339588,39101976,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication (?),,,,
