 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base, deux
            fragments" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base, deux
            fragments" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base,
            fragments" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique encastrée dans une base,
            fragments" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique, partie inférieure" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique, partie inférieure" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique, partie supérieure gauche" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque honorifique, partie supérieure gauche" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque ou base de monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque ou base de monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive encastrée dans une base" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive encastrée dans une base" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaque votive ou honorifique" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaque votive ou honorifique" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive(?)" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque votive(?)" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque, stèle ou base de monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "Plaque, stèle ou base de monument funéraire" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaque, tabula ansata" , "https://www.eagle-network.eu/voc/objtyp/lod/309" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/259" , "Inscribed plaque" , "plaque, tabula ansata" , "https://www.eagle-network.eu/voc/objtyp/lod/257" ,
